,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Chipata,11,ZM,1562366117,63,-13.64,32.65,57.71,3.74
375,Nishihara,90,JP,1562366118,88,35.74,139.53,70.0,9.17
376,Kamenka,88,MD,1562366120,82,48.03,28.7,62.01,2.62
377,Wichita Falls,40,US,1562365838,50,33.91,-98.49,96.8,17.22
378,Kholodnyy,100,RU,1562366122,92,62.72,147.95,44.21,5.37
379,Vallenar,0,CL,1562366123,83,-28.58,-70.76,49.07,0.67
380,Sembakung,48,ID,1562366110,85,3.82,117.25,78.41,1.1
381,Igarka,27,RU,1562366126,54,67.47,86.57,63.65,12.26
382,Dakar,100,SN,1562366127,83,14.69,-17.45,77.0,8.05
383,Yuksekova,20,TR,1562366129,48,37.57,44.29,64.4,4.7
384,Venado,71,MX,1562366130,28,22.93,-101.09,75.35,18.84
385,Bonavista,40,CA,1562366132,84,48.65,-53.11,48.99,8.46
386,Kolaras,100,IN,1562366133,92,25.22,77.61,76.61,10.45
387,Fort Dodge,90,US,1562365863,74,42.5,-94.17,86.0,4.7
388,Oksfjord,100,NO,1562366135,76,70.24,22.35,50.0,14.99
389,Thrissur,75,IN,1562366137,94,10.53,76.21,84.99,2.24
390,Naron,40,ES,1562366138,100,43.52,-8.15,66.0,3.36
391,Tucurui,16,BR,1562366105,70,-3.77,-49.67,78.23,1.1
392,Kloulklubed,75,PW,1562366141,88,7.04,134.26,80.6,5.91
393,Haines Junction,44,CA,1562366143,45,60.75,-137.51,73.37,4.83
394,Newport,39,GB,1562366145,77,51.59,-3.0,64.0,4.7
395,Anloga,40,GH,1562366146,88,5.79,0.9,78.8,9.17
396,Zyryanka,100,RU,1562366148,83,65.73,150.89,55.19,3.47
397,Nome,1,US,1562366149,63,30.04,-94.42,93.2,9.17
398,Koluszki,0,PL,1562366150,87,51.74,19.82,57.99,7.94
399,Rawson,0,AR,1562366152,62,-43.3,-65.11,39.35,10.83
400,Sangre Grande,20,TT,1562366153,74,10.59,-61.13,82.99,9.17
401,Amahai,55,ID,1562366154,100,-3.31,129.0,77.0,11.07
402,Araouane,10,ML,1562366156,41,18.9,-3.53,92.63,23.85
403,Clacton-on-Sea,0,GB,1562366157,68,51.79,1.16,71.01,3.36
404,Pingliang,22,CN,1562366159,54,35.54,106.68,59.33,3.91
405,Yar-Sale,10,RU,1562366160,52,66.83,70.83,56.81,22.19
406,Kieta,100,PG,1562366161,68,-6.22,155.63,84.17,12.06
407,Coahuayana,82,MX,1562366163,67,18.62,-100.35,85.61,2.71
408,Abu Samrah,0,SY,1562366164,66,35.3,37.18,70.85,10.18
409,Kruisfontein,0,ZA,1562366165,63,-34.0,24.73,49.43,8.34
410,Nuuk,75,GL,1562366167,47,64.17,-51.74,57.2,4.7
411,General Roca,0,AR,1562366168,75,-39.03,-67.58,44.6,3.36
412,Tenenkou,100,ML,1562366169,51,14.46,-4.91,86.33,7.45
413,Wanning,75,AT,1562366171,63,48.64,13.53,66.2,1.12
414,Yaan,59,NG,1562366172,96,7.38,8.57,72.29,5.37
415,Safranbolu,0,TR,1562366121,89,41.25,32.69,60.41,1.72
416,Port Hardy,20,CA,1562365940,77,50.7,-127.42,62.6,8.05
417,La Ronge,75,CA,1562366176,40,55.1,-105.3,69.8,8.05
418,Les Cayes,0,HT,1562366177,80,18.19,-73.75,82.37,12.75
419,Boddam,75,GB,1562366179,87,57.47,-1.78,54.0,13.87
420,Cancun,75,MX,1562366142,62,21.17,-86.85,89.6,12.75
421,Taunggyi,99,MM,1562366181,96,20.78,97.03,67.07,5.53
422,Rafaela,0,AR,1562366182,57,-31.25,-61.49,44.01,2.42
423,Bubaque,100,GW,1562366184,86,11.28,-15.83,79.13,15.14
424,San Miguelito,18,NI,1562366185,74,11.4,-84.9,81.65,13.13
425,Mirnyy,100,RU,1562366187,97,56.57,36.46,50.15,6.64
426,Mao,75,DO,1562366188,58,19.55,-71.08,87.8,16.11
427,Tura,100,RU,1562366189,85,64.27,100.22,55.01,14.72
428,Orel,0,CZ,1562366191,72,49.92,15.84,60.8,2.24
429,Kupang,0,ID,1562366192,66,-10.16,123.6,74.27,14.05
430,Dongying,100,CN,1562366193,56,37.43,118.67,82.01,7.4
431,Podolinec,75,SK,1562366195,48,49.26,20.54,62.6,11.41
432,Namibe,20,AO,1562366196,76,-15.19,12.15,68.87,5.75
433,Matam,86,SN,1562365931,32,15.66,-13.26,92.81,8.05
434,Guerrero Negro,0,MX,1562366199,83,27.97,-114.04,65.63,16.4
435,Bhuj,49,IN,1562366200,74,23.25,69.67,83.81,20.15
436,Durban,18,CA,1562366097,69,51.93,-101.44,64.73,6.51
437,Verkhoyansk,98,RU,1562366203,40,67.55,133.39,61.49,5.53
438,Tocopilla,78,CL,1562366204,88,-22.09,-70.2,55.91,2.91
439,Suzun,46,RU,1562366206,88,53.78,82.32,59.87,6.82
440,Cap-aux-Meules,75,CA,1562366095,77,47.38,-61.86,69.8,3.36
441,Waipawa,100,NZ,1562366208,87,-39.94,176.59,45.0,8.01
442,Siocon,100,PH,1562366210,74,11.03,124.04,82.55,4.09
443,Takoradi,90,GH,1562366211,95,4.89,-1.75,72.83,2.46
444,Pangnirtung,90,CA,1562366212,93,66.15,-65.72,41.0,4.7
445,Troy,40,US,1562366214,46,42.73,-73.69,89.6,9.17
446,Lima,90,PE,1562366215,88,-12.06,-77.04,62.6,5.82
447,Svetlaya,88,RU,1562366217,66,46.54,138.33,65.45,4.61
448,Batagay-Alyta,100,RU,1562366218,73,67.8,130.41,46.55,4.34
449,Mandera,58,ET,1562366219,70,3.94,41.86,76.61,12.8
450,Bombay,1,US,1562366221,66,44.94,-74.57,87.8,10.29
451,Sarlat-la-Caneda,0,FR,1562366222,64,44.89,1.22,77.0,3.36
452,Yangambi,52,CD,1562366223,98,0.77,24.47,70.67,2.15
453,Cuorgne,0,IT,1562366225,69,45.39,7.65,78.01,4.7
454,Coquimbo,75,CL,1562366226,93,-29.95,-71.34,68.0,5.82
455,Panhala,100,IN,1562366227,89,16.81,74.11,71.39,18.32
456,Verkhnevilyuysk,12,RU,1562366229,74,63.45,120.31,56.63,8.43
457,Kharan,0,PK,1562366230,17,28.58,65.42,71.93,1.79
458,Bimbo,0,CF,1562366231,94,4.33,18.53,75.2,2.24
459,Chitapur,96,IN,1562366233,78,17.12,77.08,75.89,14.12
460,Honiara,40,SB,1562366234,74,-9.43,159.96,82.4,7.61
461,Dolinsk,75,RU,1562366236,87,47.32,142.8,53.6,4.47
462,Camacha,40,PT,1562366237,72,33.08,-16.33,69.8,5.82
463,Madison,1,US,1562365976,62,43.07,-89.38,87.8,5.82
464,Margate,20,AU,1562366240,93,-43.03,147.26,39.99,9.17
465,Sur,52,OM,1562366242,54,22.57,59.53,86.87,4.99
466,Houma,0,CN,1562366243,28,35.63,111.36,75.89,12.03
467,Marquette,5,US,1562366245,53,46.54,-87.4,75.99,13.87
468,Thaton,100,MM,1562366246,79,16.91,97.37,80.03,8.41
469,Quimper,0,FR,1562366247,72,48.0,-4.1,69.01,3.36
470,Kuryk,0,KZ,1562366249,54,43.18,51.68,78.95,12.06
471,Lakes Entrance,0,AU,1562366250,68,-37.88,147.99,53.21,3.62
472,Kalmunai,100,LK,1562366252,79,7.42,81.82,75.35,2.91
473,Matai,0,TZ,1562366253,76,-8.3,31.52,53.03,4.92
474,Chanthaburi,70,TH,1562366254,80,12.61,102.11,82.99,7.18
475,Kourou,0,GF,1562366256,94,5.16,-52.64,75.2,1.92
476,Khash,0,IR,1562366257,18,28.22,61.21,64.73,10.76
477,Ruteng,0,ID,1562366258,60,-8.61,120.46,71.21,4.36
478,Misasi,12,TZ,1562366260,52,-3.01,33.09,66.35,2.64
479,Callaway,1,US,1562366261,68,46.98,-95.91,73.4,6.93
480,Xuddur,69,SO,1562366262,76,4.12,43.89,72.11,17.54
481,Shimoda,100,JP,1562366264,90,34.7,138.93,72.0,4.0
482,Manokwari,98,ID,1562366265,72,-0.87,134.08,78.05,6.33
483,Dicabisagan,54,PH,1562366267,84,17.08,122.42,80.03,1.88
484,Belogorsk,100,RU,1562366268,81,50.92,128.47,66.53,10.07
485,Seddon,95,AU,1562366269,87,-37.81,144.89,54.0,4.7
486,Zelenogorskiy,0,RU,1562366271,100,55.03,87.0,59.0,6.71
487,Karratha,0,AU,1562366272,41,-20.74,116.85,62.39,11.92
488,Luderitz,0,NA,1562366048,76,-26.65,15.16,55.4,5.82
489,Maryville,40,US,1562366111,70,35.76,-83.97,93.2,6.15
490,Quatre Cocos,75,MU,1562366276,73,-20.21,57.76,71.6,4.7
491,Barraute,90,CA,1562366278,78,48.43,-77.63,75.2,8.05
492,Cururupu,2,BR,1562366279,97,-1.82,-44.87,73.55,2.86
493,Kalabo,0,ZM,1562366280,41,-15.0,22.67,56.09,5.37
494,Black River,20,JM,1562366282,66,18.03,-77.85,86.0,18.34
495,Antalaha,47,MG,1562366283,93,-14.9,50.28,62.39,4.5
496,Eidsvag,0,NO,1562366285,81,62.78,8.07,50.0,5.82
497,Kota Belud,75,MY,1562366286,78,6.35,116.43,77.0,6.93
498,Riacho de Santana,43,BR,1562366287,50,-13.61,-42.94,74.63,3.49
499,Charters Towers,100,AU,1562366289,86,-20.07,146.27,62.75,6.58
500,Henties Bay,0,NA,1562366290,90,-22.12,14.28,52.0,10.04
501,Puerto Lempira,75,HN,1562366292,70,15.27,-83.77,86.0,9.17
502,Pereslavl-Zalesskiy,100,RU,1562366293,97,56.74,38.86,51.59,6.69
503,Kautokeino,96,NO,1562366295,78,69.01,23.04,45.47,15.5
504,Vestmannaeyjar,0,IS,1562366296,80,63.44,-20.27,53.57,9.44
505,Namatanai,89,PG,1562366297,76,-3.66,152.44,80.75,10.51
506,Poum,0,MK,1562366299,77,41.28,20.71,60.8,2.24
507,Naze,99,NG,1562366300,97,5.43,7.07,71.75,2.82
508,Agadez,1,NE,1562366301,48,16.97,7.99,86.0,12.75
509,Havelock,1,US,1562366138,74,34.88,-76.9,81.0,8.05
510,Singaraja,41,ID,1562366304,68,-8.11,115.08,77.87,5.12
511,Senanga,0,ZM,1562366305,40,-16.1,23.3,55.55,4.79
512,Mount Pleasant,1,US,1562366307,55,33.16,-94.97,93.99,8.05
513,Huanan,46,CN,1562366308,83,46.24,130.56,72.29,7.23
514,Griffin,40,US,1562366309,49,33.25,-84.26,93.99,5.82
515,Galle,100,GN,1562366311,99,10.08,-12.83,71.57,0.69
516,Vuktyl,94,RU,1562366312,89,63.86,57.31,52.67,6.04
517,Aurada,100,IN,1562366314,75,18.25,77.42,75.89,18.19
518,Jinchang,56,CN,1562366315,46,38.52,102.19,59.51,9.53
519,Mehamn,100,NO,1562366317,98,71.03,27.85,43.67,7.05
520,Soria,0,ES,1562366318,40,41.76,-2.46,61.31,1.32
521,Vilhena,90,BR,1562366319,93,-12.74,-60.15,66.2,14.99
522,Kabalo,7,CD,1562366321,40,-6.05,26.92,69.77,5.01
523,Bahia Honda,56,CU,1562366322,72,22.9,-83.16,85.79,6.69
524,Rocha,89,UY,1562366323,76,-34.48,-54.34,42.23,11.41
525,Bandarbeyla,21,SO,1562366325,56,9.49,50.81,80.57,28.57
526,Penzance,20,GB,1562366326,71,50.12,-5.53,63.0,6.93
527,Belousovka,42,KZ,1562366328,93,50.13,82.52,53.6,2.24
528,Capitan Bado,0,PY,1562366329,64,-23.27,-55.53,47.81,4.97
529,Ketchikan,1,US,1562366330,53,55.34,-131.65,84.2,16.11
530,Riberalta,90,BO,1562366332,60,-11.0,-66.08,68.0,13.87
531,Dom Pedrito,90,BR,1562366333,68,-30.98,-54.67,41.69,9.33
532,Vila Franca do Campo,20,PT,1562366335,77,37.72,-25.43,64.4,4.7
533,Tromso,40,NO,1562366336,76,69.65,18.96,50.0,9.17
534,Pangkalanbuun,29,ID,1562366337,95,-2.68,111.62,75.71,3.42
